SECTION 1,,,,,,,,,,,,,,,,
SECTION 1 - A1,SECTION 1 - A2,SECTION 1 - A3,SECTION 1 - A4,SECTION 1 - A5,SECTION 1 - A6,SECTION 1 - A7,SECTION 1 - A8,SECTION 1 - A9,SECTION 1 - A10,SECTION 1 - A11,SECTION 1 - A12,SECTION 1 - AB13,SECTION 1 - AB14,SECTION 1 - AB15,SECTION 1 - AB16,
SECTION 1 - B1,SECTION 1 - B2,SECTION 1 - B3,SECTION 1 - B4,SECTION 1 - B5,SECTION 1 - B6,SECTION 1 - B7,SECTION 1 - B8,SECTION 1 - B9,SECTION 1 - B10,SECTION 1 - B11,SECTION 1 - B12,,,,,
SECTION 1 - C1,SECTION 1 - C2,SECTION 1 - C3,SECTION 1 - C4,SECTION 1 - C5,SECTION 1 - C6,SECTION 1 - C7,SECTION 1 - C8,SECTION 1 - C9,SECTION 1 - C10,SECTION 1 - C11,SECTION 1 - C12,SECTION 1 - C13,SECTION 1 - C14,SECTION 1 - C15,SECTION 1 - C16,
SECTION 1 - D1,SECTION 1 - D2,SECTION 1 - D3,SECTION 1 - D4,SECTION 1 - D5,SECTION 1 - D6,SECTION 1 - D7,SECTION 1 - D8,SECTION 1 - D9,SECTION 1 - D10,SECTION 1 - D11,SECTION 1 - D12,SECTION 1 - D13,SECTION 1 - D14,SECTION 1 - D15,SECTION 1 - D16,
SECTION 1 - E1,SECTION 1 - E2,SECTION 1 - E3,SECTION 1 - E4,SECTION 1 - E5,SECTION 1 - E6,SECTION 1 - E7,SECTION 1 - E8,SECTION 1 - E9,SECTION 1 - E10,SECTION 1 - E11,SECTION 1 - E12,SECTION 1 - E13,SECTION 1 - E14,SECTION 1 - E15,SECTION 1 - E16,
SECTION 1 - F1,SECTION 1 - F2,SECTION 1 - F3,SECTION 1 - F4,SECTION 1 - F5,SECTION 1 - F6,SECTION 1 - F7,SECTION 1 - F8,SECTION 1 - F9,SECTION 1 - F10,SECTION 1 - F11,SECTION 1 - F12,SECTION 1 - F13,SECTION 1 - F14,SECTION 1 - F15,SECTION 1 - F16,
,,,,,,,,,,,,,,,,
SECTION 2,,,,,,,,,,,,,,,,
SECTION 2 - RACK 1 - A1,SECTION 2 - RACK 1 - A2,SECTION 2 - RACK 1 - A3,,SECTION 2 - RACK 2 - A1234,,,,,,,,,,,,
SECTION 2 - RACK 1 - B1,SECTION 2 - RACK 1 - B2,SECTION 2 - RACK 1 - B3,SECTION 2 - RACK 2 - B1,SECTION 2 - RACK 2 - B2,SECTION 2 - RACK 2 - B3,SECTION 2 - RACK 2 - B4,,,,,,,,,,
SECTION 2 - RACK 1 - C1,SECTION 2 - RACK 1 - C2,SECTION 2 - RACK 1 - C3,SECTION 2 - RACK 2 - C1,SECTION 2 - RACK 2 - C2,SECTION 2 - RACK 2 - C3,SECTION 2 - RACK 2 - C4,,,,,,,,,,
