"Item","Item Name","Item Group","Warehouse","Stock UOM","Balance Qty","Balance Value","Opening Qty","Opening Value","In Qty","In Value","Out Qty","Out Value","Valuation Rate","Reserved Stock","Company"
"1000900","Lampe Led veto spot light chrome 3w","Ampoule led","Raw Materials - GSS","PCs",20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1000902","Zhong zhou led bulb 2w","Ampoule led","Raw Materials - GSS","PCs",83.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1000903","Zhong zhou led E14 yellow 220  4w","Ampoule led","Raw Materials - GSS","PCs",25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1000904","Zhong zhou led high power lamp  4w","Ampoule led","Raw Materials - GSS","PCs",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1000905","Zhong zhou led high power lamp  2w","Ampoule led","Raw Materials - GSS","PCs",27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1000906","Qms lighting led 4.5w","Ampoule led","Raw Materials - GSS","PCs",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1000907","Motd E27 9w","Ampoule led","Raw Materials - GSS","PCs",12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1000908","Lipu led 3.5W","Ampoule led","Raw Materials - GSS","PCs",29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1000909","Max smd led strip 220v","Ampoule led","Raw Materials - GSS","Ctn",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1000910","Led outdoor light  50w","Ampoule led","Raw Materials - GSS","PCs",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1001000","ZT63025060851 BANDSAW BLADE","BANDSAW BLADE","Raw Materials - GSS","PCs",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1001001","CHG BANDSAW DLADE JOINT","BANDSAW BLADE","Raw Materials - GSS","PCs",24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1001010","Bison kit","Bison kit","Raw Materials - GSS","PCs",279.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1001020","Brass Cylindrical Handle","Brass Cylindrical Handle","Raw Materials - GSS","PCs",50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1001030","Button 36  1000pcs/Box","Button","Raw Materials - GSS","PCs",7380.0,0.0,0.0,0.0,7380.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1001031","Button 32  1000pcs/Box","Button","Raw Materials - GSS","PCs",13500.0,0.0,0.0,0.0,13500.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1001032","Button 32  1000pcs/Box","Button","Raw Materials - GSS","PCs",7000.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1001033","Button colour White","Button","Raw Materials - GSS","Box",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1001034","Button colour Rondelle White","Button","Raw Materials - GSS","Box",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
"1001035","Button colour ROSE","Button","Raw Materials - GSS","Box",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Global Spectrum SARL"
