name,warehouse_name,parent_warehouse,is_group,company,disabled
"Section 1 - A1 - GSS","Section 1 - A1","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A2 - GSS","Section 1 - A2","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A3 - GSS","Section 1 - A3","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A4 - GSS","Section 1 - A4","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A5 - GSS","Section 1 - A5","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A6 - GSS","Section 1 - A6","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A7 - GSS","Section 1 - A7","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A8 - GSS","Section 1 - A8","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A9 - GSS","Section 1 - A9","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A10 - GSS","Section 1 - A10","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A11 - GSS","Section 1 - A11","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A12 - GSS","Section 1 - A12","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A13 - GSS","Section 1 - A13","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A14 - GSS","Section 1 - A14","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A15 - GSS","Section 1 - A15","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - A16 - GSS","Section 1 - A16","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - B1 - GSS","Section 1 - B1","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - B2 - GSS","Section 1 - B2","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - B3 - GSS","Section 1 - B3","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - B4 - GSS","Section 1 - B4","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - B5 - GSS","Section 1 - B5","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - B6 - GSS","Section 1 - B6","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - B7 - GSS","Section 1 - B7","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - B8 - GSS","Section 1 - B8","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - B9 - GSS","Section 1 - B9","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - B10 - GSS","Section 1 - B10","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - B11 - GSS","Section 1 - B11","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - B12 - GSS","Section 1 - B12","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - AB13 - GSS","Section 1 - AB13","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - AB14 - GSS","Section 1 - AB14","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - AB15 - GSS","Section 1 - AB15","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - AB16 - GSS","Section 1 - AB16","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C1 - GSS","Section 1 - C1","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C2 - GSS","Section 1 - C2","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C3 - GSS","Section 1 - C3","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C4 - GSS","Section 1 - C4","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C5 - GSS","Section 1 - C5","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C6 - GSS","Section 1 - C6","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C7 - GSS","Section 1 - C7","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C8 - GSS","Section 1 - C8","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C9 - GSS","Section 1 - C9","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C10 - GSS","Section 1 - C10","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C11 - GSS","Section 1 - C11","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C12 - GSS","Section 1 - C12","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C13 - GSS","Section 1 - C13","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C14 - GSS","Section 1 - C14","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C15 - GSS","Section 1 - C15","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - C16 - GSS","Section 1 - C16","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D1 - GSS","Section 1 - D1","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D2 - GSS","Section 1 - D2","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D3 - GSS","Section 1 - D3","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D4 - GSS","Section 1 - D4","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D5 - GSS","Section 1 - D5","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D6 - GSS","Section 1 - D6","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D7 - GSS","Section 1 - D7","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D8 - GSS","Section 1 - D8","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D9 - GSS","Section 1 - D9","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D10 - GSS","Section 1 - D10","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D11 - GSS","Section 1 - D11","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D12 - GSS","Section 1 - D12","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D13 - GSS","Section 1 - D13","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - D14 - GSS","Section 1 - D14","Section 1 - GSS",0,"Global Spectrum SARL",0
