Section,Location Name,Full Warehouse Name (Barcode Value),Short Label
All Warehouses - GSS,Finished Goods,Finished Goods - GSS,FinishedGoods
All Warehouses - GSS,Goods In Transit,Goods In Transit - GSS,GoodsInTransit
All Warehouses - GSS,Stores,Stores - GSS,Stores
All Warehouses - GSS,Work In Progress,Work In Progress - GSS,WorkInProgress
Central Rack - GSS,Central Rack - A1,Central Rack - A1 - GSS,CentralRack-A1
Central Rack - GSS,Central Rack - A2,Central Rack - A2 - GSS,CentralRack-A2
Central Rack - GSS,Central Rack - A3,Central Rack - A3 - GSS,CentralRack-A3
Central Rack - GSS,Central Rack - A4,Central Rack - A4 - GSS,CentralRack-A4
Central Rack - GSS,Central Rack - A5,Central Rack - A5 - GSS,CentralRack-A5
Central Rack - GSS,Central Rack - B1,Central Rack - B1 - GSS,CentralRack-B1
Central Rack - GSS,Central Rack - B2,Central Rack - B2 - GSS,CentralRack-B2
Central Rack - GSS,Central Rack - B3,Central Rack - B3 - GSS,CentralRack-B3
Central Rack - GSS,Central Rack - B4,Central Rack - B4 - GSS,CentralRack-B4
Central Rack - GSS,Central Rack - B5,Central Rack - B5 - GSS,CentralRack-B5
Central Rack - GSS,Central Rack - C1,Central Rack - C1 - GSS,CentralRack-C1
Central Rack - GSS,Central Rack - C2,Central Rack - C2 - GSS,CentralRack-C2
Central Rack - GSS,Central Rack - C3,Central Rack - C3 - GSS,CentralRack-C3
Central Rack - GSS,Central Rack - C4,Central Rack - C4 - GSS,CentralRack-C4
Central Rack - GSS,Central Rack - C5,Central Rack - C5 - GSS,CentralRack-C5
Section 1 - GSS,Section 1 - A1,Section 1 - A1 - GSS,S1-A1
Section 1 - GSS,Section 1 - A10,Section 1 - A10 - GSS,S1-A10
Section 1 - GSS,Section 1 - A11,Section 1 - A11 - GSS,S1-A11
Section 1 - GSS,Section 1 - A12,Section 1 - A12 - GSS,S1-A12
Section 1 - GSS,Section 1 - A13,Section 1 - A13 - GSS,S1-A13
Section 1 - GSS,Section 1 - A14,Section 1 - A14 - GSS,S1-A14
Section 1 - GSS,Section 1 - A15,Section 1 - A15 - GSS,S1-A15
Section 1 - GSS,Section 1 - A16,Section 1 - A16 - GSS,S1-A16
Section 1 - GSS,Section 1 - A2,Section 1 - A2 - GSS,S1-A2
Section 1 - GSS,Section 1 - A3,Section 1 - A3 - GSS,S1-A3
Section 1 - GSS,Section 1 - A4,Section 1 - A4 - GSS,S1-A4
Section 1 - GSS,Section 1 - A5,Section 1 - A5 - GSS,S1-A5
Section 1 - GSS,Section 1 - A6,Section 1 - A6 - GSS,S1-A6
Section 1 - GSS,Section 1 - A7,Section 1 - A7 - GSS,S1-A7
Section 1 - GSS,Section 1 - A8,Section 1 - A8 - GSS,S1-A8
