name,warehouse_name,parent_warehouse,is_group,company,disabled
"Section 4 - GSS","Section 4","Raw Materials - GSS",1,"Global Spectrum SARL",0
"Section 4 - A1 - GSS","Section 4 - A1","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - A2 - GSS","Section 4 - A2","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - A3 - GSS","Section 4 - A3","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - A4 - GSS","Section 4 - A4","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - B1 - GSS","Section 4 - B1","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - B2 - GSS","Section 4 - B2","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - B3 - GSS","Section 4 - B3","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - B4 - GSS","Section 4 - B4","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - C1 - GSS","Section 4 - C1","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - C2 - GSS","Section 4 - C2","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - C3 - GSS","Section 4 - C3","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - C4 - GSS","Section 4 - C4","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - D1 - GSS","Section 4 - D1","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - D2 - GSS","Section 4 - D2","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - D3 - GSS","Section 4 - D3","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - D4 - GSS","Section 4 - D4","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - E1 - GSS","Section 4 - E1","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - E2 - GSS","Section 4 - E2","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - E3 - GSS","Section 4 - E3","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - E4 - GSS","Section 4 - E4","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - F1 - GSS","Section 4 - F1","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - F2 - GSS","Section 4 - F2","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - F3 - GSS","Section 4 - F3","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - F4 - GSS","Section 4 - F4","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - G1 - GSS","Section 4 - G1","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - G2 - GSS","Section 4 - G2","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - G3 - GSS","Section 4 - G3","Section 4 - GSS",0,"Global Spectrum SARL",0
"Section 4 - G4 - GSS","Section 4 - G4","Section 4 - GSS",0,"Global Spectrum SARL",0



