Section,Location Name,Full Warehouse Name,Barcode
All Warehouses - GSS,Work In Progress,Work In Progress - GSS,WH-MAIN-0002
All Warehouses - GSS,Finished Goods,Finished Goods - GSS,WH-MAIN-0003
All Warehouses - GSS,Stores,Stores - GSS,WH-MAIN-0004
All Warehouses - GSS,Goods In Transit,Goods In Transit - GSS,WH-MAIN-0005
Central Rack - GSS,Central Rack - A1,Central Rack - A1 - GSS,WH-RM-00193
Central Rack - GSS,Central Rack - A2,Central Rack - A2 - GSS,WH-RM-00194
Central Rack - GSS,Central Rack - A3,Central Rack - A3 - GSS,WH-RM-00195
Central Rack - GSS,Central Rack - A4,Central Rack - A4 - GSS,WH-RM-00196
Central Rack - GSS,Central Rack - A5,Central Rack - A5 - GSS,WH-RM-00197
Central Rack - GSS,Central Rack - B1,Central Rack - B1 - GSS,WH-RM-00198
Central Rack - GSS,Central Rack - B2,Central Rack - B2 - GSS,WH-RM-00199
Central Rack - GSS,Central Rack - B3,Central Rack - B3 - GSS,WH-RM-00200
Central Rack - GSS,Central Rack - B4,Central Rack - B4 - GSS,WH-RM-00201
Central Rack - GSS,Central Rack - B5,Central Rack - B5 - GSS,WH-RM-00202
Central Rack - GSS,Central Rack - C1,Central Rack - C1 - GSS,WH-RM-00203
Central Rack - GSS,Central Rack - C2,Central Rack - C2 - GSS,WH-RM-00204
Central Rack - GSS,Central Rack - C3,Central Rack - C3 - GSS,WH-RM-00205
Central Rack - GSS,Central Rack - C4,Central Rack - C4 - GSS,WH-RM-00206
Central Rack - GSS,Central Rack - C5,Central Rack - C5 - GSS,WH-RM-00207
Section 1 - GSS,Section 1 - A1,Section 1 - A1 - GSS,WH-RM-00002
Section 1 - GSS,Section 1 - A2,Section 1 - A2 - GSS,WH-RM-00003
Section 1 - GSS,Section 1 - A3,Section 1 - A3 - GSS,WH-RM-00004
Section 1 - GSS,Section 1 - A4,Section 1 - A4 - GSS,WH-RM-00005
Section 1 - GSS,Section 1 - A5,Section 1 - A5 - GSS,WH-RM-00006
Section 1 - GSS,Section 1 - A6,Section 1 - A6 - GSS,WH-RM-00007
Section 1 - GSS,Section 1 - A7,Section 1 - A7 - GSS,WH-RM-00008
Section 1 - GSS,Section 1 - A8,Section 1 - A8 - GSS,WH-RM-00009
Section 1 - GSS,Section 1 - A9,Section 1 - A9 - GSS,WH-RM-00010
Section 1 - GSS,Section 1 - A10,Section 1 - A10 - GSS,WH-RM-00011
Section 1 - GSS,Section 1 - A11,Section 1 - A11 - GSS,WH-RM-00012
Section 1 - GSS,Section 1 - A12,Section 1 - A12 - GSS,WH-RM-00013
Section 1 - GSS,Section 1 - A13,Section 1 - A13 - GSS,WH-RM-00014
Section 1 - GSS,Section 1 - A14,Section 1 - A14 - GSS,WH-RM-00015
Section 1 - GSS,Section 1 - A15,Section 1 - A15 - GSS,WH-RM-00016
Section 1 - GSS,Section 1 - A16,Section 1 - A16 - GSS,WH-RM-00017
Section 1 - GSS,Section 1 - B1,Section 1 - B1 - GSS,WH-RM-00018
Section 1 - GSS,Section 1 - B2,Section 1 - B2 - GSS,WH-RM-00019
Section 1 - GSS,Section 1 - B3,Section 1 - B3 - GSS,WH-RM-00020
Section 1 - GSS,Section 1 - B4,Section 1 - B4 - GSS,WH-RM-00021
Section 1 - GSS,Section 1 - B5,Section 1 - B5 - GSS,WH-RM-00022
Section 1 - GSS,Section 1 - B6,Section 1 - B6 - GSS,WH-RM-00023
Section 1 - GSS,Section 1 - B7,Section 1 - B7 - GSS,WH-RM-00024
Section 1 - GSS,Section 1 - B8,Section 1 - B8 - GSS,WH-RM-00025
Section 1 - GSS,Section 1 - B9,Section 1 - B9 - GSS,WH-RM-00026
Section 1 - GSS,Section 1 - B10,Section 1 - B10 - GSS,WH-RM-00027
Section 1 - GSS,Section 1 - B11,Section 1 - B11 - GSS,WH-RM-00028
Section 1 - GSS,Section 1 - B12,Section 1 - B12 - GSS,WH-RM-00029
Section 1 - GSS,Section 1 - AB13,Section 1 - AB13 - GSS,WH-RM-00030
Section 1 - GSS,Section 1 - AB14,Section 1 - AB14 - GSS,WH-RM-00031
Section 1 - GSS,Section 1 - AB15,Section 1 - AB15 - GSS,WH-RM-00032
Section 1 - GSS,Section 1 - AB16,Section 1 - AB16 - GSS,WH-RM-00033
Section 1 - GSS,Section 1 - C1,Section 1 - C1 - GSS,WH-RM-00034
Section 1 - GSS,Section 1 - C2,Section 1 - C2 - GSS,WH-RM-00035
Section 1 - GSS,Section 1 - C3,Section 1 - C3 - GSS,WH-RM-00036
Section 1 - GSS,Section 1 - C4,Section 1 - C4 - GSS,WH-RM-00037
Section 1 - GSS,Section 1 - C5,Section 1 - C5 - GSS,WH-RM-00038
Section 1 - GSS,Section 1 - C6,Section 1 - C6 - GSS,WH-RM-00039
Section 1 - GSS,Section 1 - C7,Section 1 - C7 - GSS,WH-RM-00040
Section 1 - GSS,Section 1 - C8,Section 1 - C8 - GSS,WH-RM-00041
Section 1 - GSS,Section 1 - C9,Section 1 - C9 - GSS,WH-RM-00042
Section 1 - GSS,Section 1 - C10,Section 1 - C10 - GSS,WH-RM-00043
Section 1 - GSS,Section 1 - C11,Section 1 - C11 - GSS,WH-RM-00044
Section 1 - GSS,Section 1 - C12,Section 1 - C12 - GSS,WH-RM-00045
Section 1 - GSS,Section 1 - C13,Section 1 - C13 - GSS,WH-RM-00046
Section 1 - GSS,Section 1 - C14,Section 1 - C14 - GSS,WH-RM-00047
Section 1 - GSS,Section 1 - C15,Section 1 - C15 - GSS,WH-RM-00048
Section 1 - GSS,Section 1 - C16,Section 1 - C16 - GSS,WH-RM-00049
Section 1 - GSS,Section 1 - D1,Section 1 - D1 - GSS,WH-RM-00050
Section 1 - GSS,Section 1 - D2,Section 1 - D2 - GSS,WH-RM-00051
Section 1 - GSS,Section 1 - D3,Section 1 - D3 - GSS,WH-RM-00052
Section 1 - GSS,Section 1 - D4,Section 1 - D4 - GSS,WH-RM-00053
Section 1 - GSS,Section 1 - D5,Section 1 - D5 - GSS,WH-RM-00054
Section 1 - GSS,Section 1 - D6,Section 1 - D6 - GSS,WH-RM-00055
Section 1 - GSS,Section 1 - D7,Section 1 - D7 - GSS,WH-RM-00056
Section 1 - GSS,Section 1 - D8,Section 1 - D8 - GSS,WH-RM-00057
